thomas_num,thomas_name,icpsr,congress,year,st_name,cd,dem,majority,elected,female,afam,latino,votepct,votepct_sq,dwnom1,meddist,majdist,deleg_size,speaker,chair,subchr,power,budget,seniority,sensq,state_leg,state_leg_prof,maj_leader,min_leader,south,south_dem,ss_bills,ss_aic,ss_abc,ss_pass,ss_law,s_bills,s_aic,s_abc,s_pass,s_law,c_bills,c_aic,c_abc,c_pass,c_law,all_bills,all_aic,all_abc,all_pass,all_law,les,leslag
160,"Gross, H.",3853,93,1973,IA,3,0,0,1948,0,0,0,56,3136,1.633000016,1.680000067,1.952499986,6,0,0,0,0,0,13,169,0,0,0,0,0,0,1,1,1,1,0,13,0,0,0,0,0,0,0,0,0,14,1,1,1,0,0.657679558,
7881,"Paul, Ron",14290,110,2007,TX,14,0,0,1996,0,0,0,60,3600,1.422999978,1.600000024,1.828999996,32,0,0,0,0,0,6,36,0,0,0,0,1,0,0,0,0,0,0,66,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0.827219009,0.86990267
7434,"Paul, Ron",14290,109,2005,TX,14,0,1,1996,0,0,0,100,10000,1.327000022,1.024000049,0.813000023,32,0,0,0,0,0,5,25,0,0,0,0,1,0,0,0,0,0,0,62,0,0,0,0,1,0,0,0,0,63,0,0,0,0,0.86990267,1.249058008
6991,"Paul, Ron",14290,108,2003,TX,14,0,1,1996,0,0,0,68,4624,1.230999947,0.975999951,0.730999947,32,0,0,0,0,0,4,16,0,0,0,0,1,0,0,0,0,0,0,62,1,1,0,0,0,0,0,0,0,62,1,1,0,0,1.249058008,0.814685225
6536,"Paul, Ron",14290,107,2001,TX,14,0,1,1996,0,0,0,60,3600,1.133999944,0.930999935,0.661999941,30,0,0,0,0,0,3,9,0,0,0,0,1,0,0,0,0,0,0,52,0,0,0,0,1,0,0,0,0,53,0,0,0,0,0.814685225,1.023550153
6092,"Paul, Ron",14290,106,1999,TX,14,0,1,1996,0,0,0,55,3025,1.037999988,0.879999995,0.594999969,30,0,0,0,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,44,3,1,0,0,0,0,0,0,0,44,3,1,0,0,1.023550153,0.568282545
6356,"Flake, Jeff",20100,107,2001,AZ,1,0,1,2000,0,0,0,54,2916,1,0.796999991,0.527999997,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9,2,1,1,0,0,0,0,0,0,9,2,1,1,0,0.636398375,
6812,"Flake, Jeff",20100,108,2003,AZ,6,0,1,2000,0,0,0,66,4356,1,0.745000005,0.5,8,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0.265639603,0.636398375
7256,"Flake, Jeff",20100,109,2005,AZ,6,0,1,2000,0,0,0,79,6241,1,0.697000027,0.486000001,8,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,24,0,1,1,1,0,0,0,0,0,24,0,1,1,1,0.890883565,0.265639603
7706,"Flake, Jeff",20100,110,2007,AZ,6,0,0,2000,0,0,0,75,5625,1,1.177000046,1.406000018,8,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0.20053795,0.890883565
5280,"Stockman, Steve",29570,104,1995,TX,9,0,1,1994,0,0,0,52,2704,0.958000004,0.774999976,0.540000021,30,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0.248699546,
7612,"Broun, Paul",20753,110,2007,GA,10,0,0,2007,0,0,0,,,0.958000004,1.13499999,1.363999963,13,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,11,1,1,0,0,0.306725264,
5650,"Paul, Ron",14290,105,1997,TX,14,0,1,1996,0,0,0,51,2601,0.941999972,0.750499964,0.506999969,30,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,26,1,0,0,0,1,0,0,0,0,27,1,0,0,0,0.568282545,
7938,"Sensenbrenner, F.",14657,110,2007,WI,5,0,0,1978,0,0,0,62,3844,0.925000012,1.101999998,1.33099997,8,0,0,0,0,0,15,225,1,0.248999998,0,0,0,0,0,0,0,0,0,9,2,1,1,0,0,0,0,0,0,9,2,1,1,0,0.466640979,17.54712868
702,"McDonald, Lawrence",14252,94,1975,GA,7,1,1,1974,0,0,0,50,2500,0.912,1.095000029,1.225000024,10,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,8,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0.047005359,
6819,"Franks, Trent",20304,108,2003,AZ,2,0,1,2002,0,0,0,60,3600,0.910000026,0.655000031,0.410000026,8,0,0,0,0,1,1,1,1,0.185000002,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0.066409901,
7265,"Franks, Trent",20304,109,2005,AZ,2,0,1,2002,0,0,0,59,3481,0.910000026,0.607000053,0.396000028,8,0,0,0,0,0,2,4,1,0.185000002,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.013985573,0.066409901
7714,"Franks, Trent",20304,110,2007,AZ,2,0,0,2002,0,0,0,59,3481,0.910000026,1.087000012,1.315999985,8,0,0,0,0,0,3,9,1,0.185000002,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0.050134487,0.013985573
7968,"Tancredo, Thomas",29907,110,2007,CO,6,0,0,1998,0,0,0,59,3481,0.908999979,1.085999966,1.314999938,7,0,0,0,0,0,5,25,1,0.172000006,0,0,0,0,0,0,0,0,0,16,0,0,0,0,3,0,0,0,0,19,0,0,0,0,0.208058119,0.5928666
1149,"McDonald, Lawrence",14252,95,1977,GA,7,1,1,1974,0,0,0,55,3025,0.904999971,1.074499965,1.207000017,10,0,0,0,0,0,2,4,0,0,0,0,1,1,0,0,0,0,0,17,0,0,0,0,1,0,0,0,0,18,0,0,0,0,0.108440906,0.047005359
7942,"Shadegg, John",29501,110,2007,AZ,3,0,0,1994,0,0,0,59,3481,0.902999997,1.080000043,1.309000015,8,0,0,0,0,0,7,49,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0.23813881,2.081136942
1599,"McDonald, Lawrence",14252,96,1979,GA,7,1,1,1974,0,0,0,67,4489,0.898999989,1.037999988,1.207000017,10,0,0,0,0,0,3,9,0,0,0,0,1,1,0,0,0,0,0,30,0,0,0,0,2,0,0,0,0,32,0,0,0,0,0.327352643,0.108440906
2045,"McDonald, Lawrence",14252,97,1981,GA,7,1,1,1974,0,0,0,68,4624,0.89200002,0.953000009,1.202000022,10,0,0,0,0,0,4,16,0,0,0,0,1,1,0,0,0,0,0,33,3,0,0,0,2,0,0,0,0,35,3,0,0,0,0.573532283,0.327352643
7491,"Sensenbrenner, F.",14657,109,2005,WI,5,0,1,1978,0,0,0,67,4489,0.888000011,0.585000038,0.374000013,8,0,1,0,0,0,14,196,1,0.248999998,0,0,0,0,11,7,11,9,2,48,17,25,16,6,1,0,0,0,0,60,24,36,25,8,17.54712868,12.25478363
2477,"McDonald, Lawrence",14252,98,1983,GA,7,1,1,1974,0,0,0,61,3721,0.88499999,1.011000037,1.189999938,10,0,0,0,0,0,5,25,0,0,0,0,1,1,0,0,0,0,0,23,0,0,0,0,2,0,0,0,0,25,0,0,0,0,0.319247782,0.573532283
7520,"Tancredo, Thomas",29907,109,2005,CO,6,0,1,1998,0,0,0,59,3481,0.884000003,0.58100003,0.370000005,7,0,0,0,0,0,4,16,1,0.172000006,0,0,0,0,1,0,0,0,0,14,1,1,1,0,1,0,0,0,0,16,1,1,1,0,0.5928666,1.770557761
7494,"Shadegg, John",29501,109,2005,AZ,3,0,1,1994,0,0,0,80,6400,0.875999987,0.573000014,0.361999989,8,0,0,0,0,0,6,36,0,0,1,0,0,0,0,0,0,0,0,23,3,5,4,1,0,0,0,0,0,23,3,5,4,1,2.081136942,0.315447032
5248,"Sanford, Marshall",29565,104,1995,SC,1,0,1,1994,0,0,0,66,4356,0.862999976,0.679999948,0.444999963,6,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0.172563449,
5698,"Sanford, Marshall",29565,105,1997,SC,1,0,1,1994,0,0,0,96,9216,0.862999976,0.671499968,0.427999973,6,0,0,0,0,0,2,4,0,0,0,0,1,0,0,0,0,0,0,14,1,0,0,0,0,0,0,0,0,14,1,0,0,0,0.347697049,0.172563449
5703,"Schaffer, Bob",29711,105,1997,CO,4,0,1,1996,0,0,0,56,3136,0.862999976,0.671499968,0.427999973,6,0,0,0,0,0,1,1,1,0.172000006,0,0,0,0,1,0,1,0,0,8,1,2,1,1,0,0,0,0,0,9,1,3,1,1,1.187763333,
6138,"Sanford, Marshall",29565,106,1999,SC,1,0,1,1994,0,0,0,91,8281,0.862999976,0.704999983,0.419999987,6,0,0,0,0,0,3,9,0,0,0,0,1,0,0,0,0,0,0,19,2,1,0,0,1,0,0,0,0,20,2,1,0,0,0.556057453,0.347697049
6142,"Schaffer, Bob",29711,106,1999,CO,4,0,1,1996,0,0,0,59,3481,0.862999976,0.704999983,0.419999987,6,0,0,0,0,0,2,4,1,0.172000006,0,0,0,0,0,0,0,0,0,6,1,1,1,1,0,0,0,0,0,6,1,1,1,1,0.623570621,1.187763333
6585,"Schaffer, Bob",29711,107,2001,CO,4,0,1,1996,0,0,0,79,6241,0.862999976,0.659999967,0.390999973,6,0,0,0,0,0,3,9,1,0.172000006,0,0,0,0,0,0,0,0,0,8,1,1,0,0,1,0,1,1,1,9,1,2,1,1,0.473855376,0.623570621
7074,"Tancredo, Thomas",29907,108,2003,CO,6,0,1,1998,0,0,0,67,4489,0.85799998,0.602999985,0.35799998,7,0,0,0,0,1,3,9,1,0.172000006,0,0,0,0,0,0,0,0,0,19,3,4,3,1,0,0,0,0,0,19,3,4,3,1,1.770557761,2.13206625
7686,"Duncan, John",15455,110,2007,TN,2,0,0,1988,0,0,0,78,6084,0.856999993,1.034000039,1.263000011,9,0,0,0,0,0,10,100,0,0,0,0,1,0,0,0,0,0,0,9,1,0,0,0,1,0,0,0,0,10,1,0,0,0,0.202265844,0.369768232
6853,"Hensarling, Jeb",20352,108,2003,TX,5,0,1,2002,0,0,0,58,3364,0.852999985,0.59799999,0.352999985,32,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0.066409901,
7297,"Hensarling, Jeb",20352,109,2005,TX,5,0,1,2002,0,0,0,64,4096,0.852999985,0.550000012,0.338999987,32,0,0,0,0,1,2,4,0,0,0,0,1,0,0,0,0,0,0,8,2,2,1,0,1,0,0,0,0,9,2,2,1,0,0.708097398,0.066409901
7744,"Hensarling, Jeb",20352,110,2007,TX,5,0,0,2002,0,0,0,62,3844,0.852999985,1.029999971,1.258999944,32,0,0,0,0,1,3,9,0,0,0,0,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0.162937075,0.708097398
