thomas_num,thomas_name,last_name,first_name,icpsr,congress,year,st_name,cd,dem,majority,elected,female,afam,latino,votepct,votepct_sq,dwnom1,meddist,majdist,deleg_size,speaker,chair,subchr,power,budget,seniority,sensq,state_leg,state_leg_prof,maj_leader,min_leader,south,south_dem,ss_bills,ss_aic,ss_abc,ss_pass,ss_law,s_bills,s_aic,s_abc,s_pass,s_law,c_bills,c_aic,c_abc,c_pass,c_law,all_bills,all_aic,all_abc,all_pass,all_law,les,leslag
1,"Abdnor, James",Abdnor, James,14000,93,1973,SD,2,0,0,1972,0,0,0,55,3025,0.228,0.275000006,0.547500014,6,0,0,0,0,0,1,1,1,0.104000002,0,0,0,0,0,0,0,0,0,21,0,0,0,0,1,0,0,0,0,22,0,0,0,0,0.109570265,
2,"Abzug, Bella",Abzug, Bella,13001,93,1973,NY,20,1,1,1970,1,0,0,56,3136,-0.686999977,0.639999986,0.367499977,39,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,0,8,1,1,1,1,136,1,1,1,1,0.762431085,
3,"Adams, Brock",Adams, Brock,10700,93,1973,WA,7,1,1,1964,0,0,0,85,7225,-0.361000001,0.31400001,0.041500002,7,0,0,1,0,1,5,25,0,0,0,0,0,0,2,1,1,1,0,33,1,1,1,1,2,0,0,0,0,37,2,2,2,1,1.236478448,
4,"Addabbo, Joseph",Addabbo, Joseph,10500,93,1973,NY,7,1,1,1960,0,0,0,75,5625,-0.400000006,0.353000015,0.080500007,39,0,0,1,1,0,7,49,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,10,0,0,0,0,38,0,0,0,0,0.15505226,
5,"Albert, Carl",Albert, Carl,,93,1973,OK,3,,0,1946,0,0,0,93,8649,,,,6,1,0,0,0,0,14,196,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0.001033682,
6,"Alexander, Bill",Alexander, Bill,12000,93,1973,AR,1,1,1,1968,0,0,0,100,10000,-0.280999988,0.233999982,0.038500011,4,0,0,1,0,0,3,9,0,0,0,0,1,1,2,2,2,1,1,51,1,1,1,0,0,0,0,0,0,53,3,3,2,1,1.875050545,
7,"Anderson, John",Anderson, John,10501,93,1973,IL,16,0,0,1960,0,0,0,72,5184,0.101999998,0.149000004,0.421499997,24,0,0,0,1,0,7,49,0,0,0,1,0,0,1,0,0,0,0,54,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0.289430887,
8,"Anderson, Glenn",Anderson, Glenn,12001,93,1973,CA,35,1,1,1968,0,0,0,75,5625,-0.293000013,0.246000007,0.026499987,43,0,0,0,0,0,3,9,1,0.526000023,0,0,0,0,1,0,0,0,0,84,0,0,0,0,2,0,0,0,0,87,0,0,0,0,0.446550518,
9,"Andrews, Ike",Andrews, Ike,14001,93,1973,NC,4,1,1,1972,0,0,0,50,2500,-0.097999997,0.050999999,0.221500009,11,0,0,0,0,0,1,1,1,0.189999998,0,0,1,1,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0.087862954,
10,"Andrews, Mark",Andrews, Mark,10569,93,1973,ND,1,0,0,1963,0,0,0,73,5329,0.105999999,0.152999997,0.425500005,1,0,0,0,1,0,6,36,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,3,0,0,0,0,23,0,0,0,0,0.106469221,
11,"Annunzio, Frank",Annunzio, Frank,10703,93,1973,IL,11,1,1,1964,0,0,0,53,2809,-0.402999997,0.356000006,0.083499998,24,0,0,1,0,0,5,25,0,0,0,0,0,0,0,0,0,0,0,46,1,1,1,0,7,1,1,1,1,53,2,2,2,1,0.627664626,
12,"Archer, Bill",Archer, Bill,13002,93,1973,TX,7,0,0,1970,0,0,0,82,6724,0.463999987,0.510999978,0.783500016,24,0,0,0,1,0,2,4,1,0.191,0,0,1,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,35,0,0,0,0,0.180894315,
13,"Arends, Leslie",Arends, Leslie,226,93,1973,IL,15,0,0,1934,0,0,0,57,3249,0.296000004,0.342999995,0.615500033,24,0,0,0,0,0,20,400,,,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0.015505226,
14,"Armstrong, William",Armstrong, William,14002,93,1973,CO,5,0,0,1972,0,0,0,62,3844,0.441000015,0.488000005,0.760500014,5,0,0,0,0,0,1,1,1,0.284000009,0,0,0,0,0,0,0,0,0,8,0,0,0,0,3,1,1,1,1,11,1,1,1,1,0.137053624,
15,"Ashbrook, John",Ashbrook, John,10502,93,1973,OH,17,0,0,1960,0,0,0,57,3249,0.601000011,0.648000002,0.92050004,23,0,0,0,0,0,7,49,1,0.354999989,0,0,0,0,0,0,0,0,0,33,0,0,0,0,1,0,0,0,0,34,0,0,0,0,0.171591178,
16,"Ashley, Thomas",Ashley, Thomas,267,93,1973,OH,9,1,1,1954,0,0,0,69,4761,-0.328999996,0.282000005,0.009499996,23,0,0,1,0,1,10,100,0,0,0,0,0,0,5,5,5,5,2,23,0,0,0,0,0,0,0,0,0,28,5,5,5,2,3.763123989,
17,"Aspin, Les",Aspin, Les,13003,93,1973,WI,1,1,1,1970,0,0,0,64,4096,-0.381999999,0.335000008,0.0625,9,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,91,0,0,0,0,2,0,0,0,0,93,0,0,0,0,0.472392559,
18,"Badillo, Herman",Badillo, Herman,13004,93,1973,NY,21,1,1,1970,0,0,1,87,7569,-0.619000018,0.572000027,0.299500018,39,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,1,0,0,0,0,42,0,0,0,0,0.212938443,
19,"Bafalis, L.",Bafalis, L.,14003,93,1973,FL,10,0,0,1972,0,0,0,62,3844,0.293000013,0.340000004,0.612500012,15,0,0,0,0,0,1,1,1,0.224000007,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0.051684089,
20,"Baker, LaMar",Baker, LaMar,13005,93,1973,TN,3,0,0,1970,0,0,0,55,3025,0.338999987,0.385999978,0.658500016,8,0,0,0,0,0,2,4,1,0.149000004,0,0,1,0,0,0,0,0,0,32,2,2,1,1,3,0,0,0,0,35,2,2,1,1,0.818845809,
21,"Barrett, William",Barrett, William,465,93,1973,PA,1,1,1,1948,0,0,0,66,4356,-0.476999998,0.430000007,0.157499999,25,0,0,1,0,0,13,169,0,0,0,0,0,0,3,2,2,2,1,22,0,0,0,0,3,0,0,0,0,28,2,2,2,1,1.654023051,
22,"Bauman, Robert",Bauman, Robert,14069,93,1973,MD,1,0,0,1973,0,0,0,,,0.500999987,0.547999978,0.820500016,8,0,0,0,0,0,1,1,1,0.252000004,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0.062020905,
23,"Beard, Robin",Beard, Robin,14004,93,1973,TN,6,0,0,1972,0,0,0,55,3025,0.397000015,0.444000006,0.716500044,8,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0.04754936,
