,thomas_num,thomas_name,first_name,last_name,icpsr,congress,year,st_name,cd,dem,majority,elected,female,votepct,votepct_sq,dwnom1,deleg_size,speaker,chair,subchr,power,budget,seniority,sensq,maj_leader,min_leader,ss_bills,ss_aic,ss_abc,ss_pass,ss_law,s_bills,s_aic,s_abc,s_pass,s_law,c_bills,c_aic,c_abc,c_pass,c_law,all_bills,all_aic,all_abc,all_pass,all_law,les
1,1,"Abdnor, James",  James,Abdnor,14000,93,1973,SD,2,0,0,1972,0,55,3025,0.228,6,0,0,0,0,0,1,1,0,0,0,0,0,0,0,21,0,0,0,0,1,0,0,0,0,22,0,0,0,0,0.109570265
446,446,"Abdnor, James", James,Abdnor,14000,94,1975,SD,2,0,0,1972,0,68,4624,0.228,2,0,0,0,0,0,2,4,0,0,0,0,0,0,0,32,0,0,0,0,2,0,0,0,0,34,0,0,0,0,0.18572849
890,890,"Abdnor, James", James,Abdnor,14000,95,1977,SD,2,0,0,1972,0,70,4900,0.228,2,0,0,0,0,0,3,9,0,0,0,0,0,0,0,29,1,1,1,0,3,0,0,0,0,32,1,1,1,0,0.428127646
1333,1333,"Abdnor, James", James,Abdnor,14000,96,1979,SD,2,0,0,1972,0,NA,NA,0.228,2,0,0,0,0,0,4,16,0,0,0,0,0,0,0,24,0,0,0,0,1,1,1,1,0,25,1,1,1,0,0.312010556
2664,2664,"Abercrombie, Neil", Neil,Abercrombie,15245,99,1985,HI,1,1,1,1986,0,NA,NA,-0.522000015,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.015369171
4003,4003,"Abercrombie, Neil", Neil,Abercrombie,15245,102,1991,HI,1,1,1,1990,0,60,3600,-0.508000016,2,0,0,0,0,0,1,1,0,0,1,1,1,0,0,14,5,4,0,0,1,0,0,0,0,16,6,5,0,0,1.093407393
4449,4449,"Abercrombie, Neil", Neil,Abercrombie,15245,103,1993,HI,1,1,1,1990,0,73,5329,-0.493999988,2,0,0,0,0,0,2,4,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,3,1,0,0,0,0.097937308
4894,4894,"Abercrombie, Neil", Neil,Abercrombie,15245,104,1995,HI,1,1,0,1990,0,54,2916,-0.479999989,2,0,0,0,0,0,3,9,0,0,0,0,0,0,0,6,1,1,1,1,0,0,0,0,0,6,1,1,1,1,0.693415821
5339,5339,"Abercrombie, Neil", Neil,Abercrombie,15245,105,1997,HI,1,1,0,1990,0,50,2500,-0.465999991,2,0,0,0,0,0,4,16,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0.235050142
5788,5788,"Abercrombie, Neil", Neil,Abercrombie,15245,106,1999,HI,1,1,0,1990,0,62,3844,-0.451999992,2,0,0,0,0,0,5,25,0,0,0,0,0,0,0,9,1,1,1,0,0,0,0,0,0,9,1,1,1,0,0.426843315
6230,6230,"Abercrombie, Neil", Neil,Abercrombie,15245,107,2001,HI,1,1,0,1990,0,69,4761,-0.437999994,2,0,0,0,0,0,6,36,0,0,0,0,0,0,0,10,1,1,0,0,0,0,0,0,0,10,1,1,0,0,0.389987439
6677,6677,"Abercrombie, Neil", Neil,Abercrombie,15245,108,2003,HI,1,1,0,1990,0,73,5329,-0.423999995,2,0,0,0,0,0,7,49,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0,0,0,8,1,1,0,0,0.35252434
7121,7121,"Abercrombie, Neil", Neil,Abercrombie,15245,109,2005,HI,1,1,0,1990,0,63,3969,-0.409999996,2,0,0,0,0,0,8,64,0,0,0,0,0,0,0,10,1,0,0,0,1,1,1,0,0,11,2,1,0,0,0.309853226
